10000,中国电信客服
10010,联通客服热线
10011,联通话费查询
10018,联通客户俱乐部
10050,中国铁通客服
10060,中国网通客服
10086,中国移动客服
110,公安报警
112,电话故障
114,查询电话号码
119,火警
120,救护
12117,报时服务
12121,天气预报
12315,消协热线
12333,劳动保障咨询
12338,妇女维权热线
160,160声讯台
168,168声讯台
1300000,北京联通联通
1300001,江苏常州联通
1300006,江苏南京联通
1300010,北京联通联通
1300011,北京联通联通
1300012,天津联通
1300013,天津联通
1300014,天津联通
1300015,山东淄博联通
1300016,山东烟台联通
1300017,山东济南联通
1300018,天津联通
1300019,天津联通
1300020,上海联通
1300021,上海联通
1300022,上海联通
1300023,上海联通
1300024,上海联通
1300025,江苏南京联通
1300026,江苏南京联通
1300027,山东烟台联通
1300028,江苏南京联通
1300029,江苏南京联通
1300030,江苏南京联通
1300031,江苏南京联通
1300032,江苏南京联通
1300033,江苏无锡联通
1300034,江苏无锡联通
1300035,江苏无锡联通
1300036,江苏无锡联通
1300037,江苏无锡联通
1300038,江苏无锡联通
1300039,江苏无锡联通
1300045,北京联通联通
1300046,北京联通联通
1300047,北京联通联通
1300048,北京联通联通
1300049,北京联通联通
1300050,广东广州联通联通
1300051,广东广州联通联通
1300052,广东广州联通联通
1300053,广东广州联通联通
1300054,广东广州联通联通
1300055,广东广州联通联通
1300056,广东广州联通联通
1300057,广东广州联通联通
1300058,广东广州联通联通
1300059,广东广州联通联通
1300061,湖北荆门联通
1300065,山东潍坊联通
1300067,浙江温州联通
1300068,广东广州联通联通
1300071,湖北武汉联通
1300087,甘肃兰州联通联通
1300100,北京联通联通
1300101,北京联通联通
1300102,北京联通联通
1300103,北京联通联通
1300104,北京联通联通
1300105,北京联通联通
1300106,北京联通联通
1300107,北京联通联通
1300108,北京联通联通
1300109,北京联通联通
1300110,北京联通联通
1300111,北京联通联通
1300112,北京联通联通
1300113,北京联通联通
1300114,北京联通联通
1300115,北京联通联通
1300116,北京联通联通
1300117,北京联通联通
1300118,北京联通联通
1300119,北京联通联通
1300120,北京联通联通
1300121,北京联通联通
1300122,北京联通联通
1300123,北京联通联通
1300124,北京联通联通
1300125,北京联通联通
1300126,北京联通联通
1300127,北京联通联通
1300128,北京联通联通
1300129,北京联通联通
1300130,天津联通
1300131,天津联通
1300132,天津联通
1300133,天津联通
1300134,天津联通
1300135,天津联通
1300136,天津联通
1300137,天津联通
1300138,天津联通
